Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Timur | ♂ | Török eredetű név | vas | „rendkívül ritka” → „néhány előfordulás”
Timuzsin | ♂ | mongol Temuujin férfinévnek a magyar helyesírást és kiejtést követő változata . | | „néhány előfordulás” → „néhány előfordulás”
Tirzusz | ♂ | Görög névnek a latin Thyrsus formájából való | A görög mitológiában annak a szőlőlevelekkel és repkénnyel körülfont , tobozban végződő botnak a neve , amely Dionüszosznak és a bacchánsnőknek a jelvénye . | „néhány előfordulás” → „néhány előfordulás”
Titán | ♂ | Görög mitológiai eredetű név | óriás | „néhány előfordulás” → „rendkívül ritka”
Titusz | ♂ | Ókori római férfinév | jelentése bizonytalan : vadgalamb ; tiszteletreméltó ; tisztelt | „nagyon ritka” → „nagyon ritka”
Tivadar | ♂ | A Teodor ‣ név magyar formája | | „közepesen gyakori” → „nagyon ritka”
Tiván | ♂ | Török eredetű régi magyar személynév | egy sólyomféle madár nevéből származik | „néhány előfordulás” → „néhány előfordulás”
Tobán | ♂ | -- | | „néhány előfordulás” → „néhány előfordulás”
Tóbiás | ♂ | Héber eredetű bibliai név | Jahve jó | „rendkívül ritka” → „nagyon ritka”
Tódor | ♂ | A Teodor ‣ név magyar rövidülése | | „rendkívül ritka” → „néhány előfordulás”
Toma | ♂ | Tamás ‣ régi Tomás alakjának becéző alakja | iker ; csodálatos | „rendkívül ritka” → „néhány előfordulás”
Tomaj | ♂ | Régi magyar személynév és nemzetségnév | | „rendkívül ritka” → „rendkívül ritka”
Tomor | ♂ | A Tömör ‣ név alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Tonuzóba | ♂ | A X . század közepén népével a magyarsághoz csatlakozott besenyő vezérnek a nevéből , a Tonuzoba , Tonuzaba névből származik . | Két ótörök szóból összetett név , a jelentése : vadkan + apa | „néhány előfordulás” → „néhány előfordulás”
Torda | ♂ | Régi magyar személynév | megállt ; megmaradt | „rendkívül ritka” → „néhány előfordulás”
Tordas | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Tormás | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Torna | ♂ | Régi magyar személynév | tornai | „néhány előfordulás” → „néhány előfordulás”
Torontál | ♂ | Török eredetű régi magyar személynév | kis sólyom | „néhány előfordulás” → „néhány előfordulás”
Töhötöm | ♂ | A régi magyar Tühütüm névből származik | herceg | „néhány előfordulás” → „néhány előfordulás”
Tömör | ♂ | Ótörök eredetű régi magyar személynév | vas | „néhány előfordulás” → „néhány előfordulás”
Törtel | ♂ | Kun eredetű régi magyar személynév | jelentése tisztázatlan , némelyek szerint : négy nép ( ura ) ; mások szerint : négy gyermek ( apja ) | „néhány előfordulás” → „néhány előfordulás”
Trajánusz | ♂ | Latin eredetű , Marcus Ulpius Traianus római császár nevéből vált keresztnévvé | | „néhány előfordulás” → „néhány előfordulás”
Trevisz | ♂ | francia eredetű angol név | vámos | „néhány előfordulás” → „néhány előfordulás”
Trisztán | ♂ | Egy középkori francia lovagregény hősének a nevéből való | a kelta eredetű Drystan jelentése : zűrzavar ; lárma | „nagyon ritka” → „elég ritka”
Tullió | ♂ | Latin eredetű olasz név átvétele | Jelentése bizonytalan | „néhány előfordulás” → „néhány előfordulás”
Turul | ♂ | Török eredetű régi magyar személynév | sólyom(féle ragadozó madár ) ; némelyek szerint : héja | „néhány előfordulás” → „néhány előfordulás”
Tuzson | ♂ | Régi magyar személynév | Eredete és jelentése ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Ubul | ♂ | Régi magyar | gondolat + merész | „néhány előfordulás” → „néhány előfordulás”
Údó | ♂ | Német eredetű | | „néhány előfordulás” → „néhány előfordulás”
Ugocsa | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Ugod | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Ugor | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Ugron | ♂ | Régi magyar | magyar ember | „néhány előfordulás” → „néhány előfordulás”
Ulászló | ♂ | A szláv Vladislav magyarítása | | „néhány előfordulás” → „néhány előfordulás”
Uldin | ♂ | Talán török eredetű | szerencsés | „néhány előfordulás” → „néhány előfordulás”
Ulisszesz | ♂ | Odüsszeusz görög mondai hős nevének a latin Ulysses formájából | | „néhány előfordulás” → „néhány előfordulás”
Ulpián | ♂ | A latin Vulpianus névből szárm . | | „néhány előfordulás” → „néhány előfordulás”
Ulrik | ♂ | A germán eredetű német Ulrich névből | ( öröklött ) birtok + hatalmas ; uralkodó | „néhány előfordulás” → „néhány előfordulás”
Umbertó | ♂ | olasz név | ? + fényes ; híres | „néhány előfordulás” → „néhány előfordulás”
Upor | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Urbán | ♂ | Az Orbán ‣ névnek latin eredetihez közelebb álló formája | | „néhány előfordulás” → „néhány előfordulás”
Uriás | ♂ | Héber eredetű bibliai név | Jahve világosság | „néhány előfordulás” → „néhány előfordulás”
Uriel | ♂ | Héber eredetű bibliai név | Isten világosság | „néhány előfordulás” → „néhány előfordulás”
Uros | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Uzon | ♂ | Régi magyar | hosszú | „néhány előfordulás” → „néhány előfordulás”
Uzor | ♂ | Régi magyar | nyíl | „néhány előfordulás” → „néhány előfordulás”
Üllő | ♂ | Régi magyar személynév ; Árpád ‣ fejedelem egyik fiának a neve | uralkodó ; király | „néhány előfordulás” → „néhány előfordulás”
Vadony | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Vajk | ♂ | Régi magyar | zsiradék ; gazdag ; bő | „nagyon ritka” → „elég ritka”
Vajta | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Valdemár | ♂ | germán eredetű | uralkodó ; tevékeny + híres | „néhány előfordulás” → „néhány előfordulás”
Valdó | ♂ | Germán eredetű Valdemár ‣ rövidült alakváltozata | uralkodó ; tevékeny + híres | „néhány előfordulás” → „néhány előfordulás”
Valentin | ♂ | A Bálint ‣ névnek a latin eredetihez közelebb álló formája | erős ; egészséges | „elég ritka” → „elég ritka”
Valentínó | ♂ | Valentin ‣ olasz alakváltozata | erős ; egészséges | „néhány előfordulás” → „nagyon ritka”
Valér | ♂ | A latin Valerius nemzetségnévből szárm . | erős ; egészséges | „nagyon ritka” → „rendkívül ritka”
Valérió | ♂ | Latin Valerius angol és spanyol alakváltozata | erős ; egészséges | „néhány előfordulás” → „néhány előfordulás”
Valter | ♂ | Germán eredetű | uralkodó ; tevékeny + nép ( sereg ) | „elég ritka” → „nagyon ritka”
Valton | ♂ | Óangol helynévi eredetű név | fallal körülvett város | „néhány előfordulás” → „néhány előfordulás”
Várkony | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Varsány | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Vászoly | ♂ | A Bazil ‣ névnek a görögkeleti szláv alakjából | | „néhány előfordulás” → „néhány előfordulás”
Vata | ♂ | Régi magyar | ? | „néhány előfordulás” → „néhány előfordulás”
Vazul | ♂ | A Bazil ‣ név régi magyar Wazul formájának a téves olvasatából keletkezett | | „nagyon ritka” → „nagyon ritka”
Vázsony | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Vejke | ♂ | -- | | „néhány előfordulás” → „néhány előfordulás”
Velek | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Vencel | ♂ | a szláv Venceslav névből szárm . | koszorú + dicsőség | „elég ritka” → „elég ritka”
Vendel | ♂ | A német Wendelin név rövidülése | ? vandál | „elég ritka” → „elég ritka”
Vérbulcsú | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Vern | ♂ | az ófrancia Vernon név rövidült alakváltozata | éger liget | „néhány előfordulás” → „néhány előfordulás”
Verner | ♂ | Germán eredetű német | warin ( törzsnév ) + nép ; had | „néhány előfordulás” → „néhány előfordulás”
Versény | ♂ | Régi magyar | ? | „néhány előfordulás” → „néhány előfordulás”
Vértes | ♂ | Régi magyar | pajzshordó ; vértműves | „néhány előfordulás” → „néhány előfordulás”
Viátor | ♂ | Latin eredetű | utazó ; utas | „néhány előfordulás” → „néhány előfordulás”
Vid | ♂ | régi magyar | | „rendkívül ritka” → „nagyon ritka”
Vida | ♂ | A Vid ‣ régi alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Vidor | ♂ | XIX . századi nyelvújítási alkotás | | „nagyon ritka” → „rendkívül ritka”
Vidos | ♂ | A Vid ‣ névnek a régi magyar - s kicsinyítőképzős származéka | | „néhány előfordulás” → „néhány előfordulás”
Vikram | ♂ | Szanszkrit eredetű | bátor | „néhány előfordulás” → „néhány előfordulás”
Viktor | ♂ | Latin eredetű | győző ; győztes | „nagyon gyakori” → „közepesen gyakori”
Vilibald | ♂ | A német Willibald névből származik | akarat + merész | „néhány előfordulás” → „néhány előfordulás”
Vilmos | ♂ | A germán eredetű Wilhelm név latinosított Vilhelmus formájából | akarat + ( védő ) sisak | „közepesen gyakori” → „közepesen gyakori”
Vince | ♂ | A latin Vincentius rövidülése | győztes | „közepesen gyakori” → „közepesen gyakori”
Vincent | ♂ | A latin Vincentius alakváltozata | győztes | „nagyon ritka” → „nagyon ritka”
Virgil | ♂ | A latin Virgilius név rövidülése | | „nagyon ritka” → „nagyon ritka”
Vitálij | ♂ | Latin eredetű szláv név | életerős ; eleven | „néhány előfordulás” → „néhány előfordulás”
Vitális | ♂ | Latin eredetű | életerős ; eleven | „néhány előfordulás” → „néhány előfordulás”
Vitályos | ♂ | A Vitális ‣ régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Vitéz | ♂ | Késő középkori magyar | | „rendkívül ritka” → „nagyon ritka”
Vító | ♂ | Vitus ‣ olasz és spanyol alakváltozata | ? szíves ; készséges ; jóindulatú | „néhány előfordulás” → „néhány előfordulás”
Vitold | ♂ | germán eredetű | erdő + uralkodó ; tevékeny | „néhány előfordulás” → „néhány előfordulás”
Vitus | ♂ | késői latin | ? szíves ; készséges ; jóindulatú | „néhány előfordulás” → „rendkívül ritka”
Vladimír | ♂ | szláv eredetű | hatalom + nagy | „rendkívül ritka” → „néhány előfordulás”
Vojta | ♂ | Szláv eredet Vojtech rövid alakváltozata | háborút kedvelő ; katonákat vígasztaló | „néhány előfordulás” → „néhány előfordulás”
Volfram | ♂ | Germán eredetű | farkas + holló | „néhány előfordulás” → „néhány előfordulás”
Vulkán | ♂ | Latin eredetű | tűz ; láng | „néhány előfordulás” → „néhány előfordulás”
Xavér | ♂ | baszk eredetű helynévből | új ház | „nagyon ritka” → „nagyon ritka”
Zádor | ♂ | Régi magyar | erőszakos ; heves | „rendkívül ritka” → „nagyon ritka”
Zágon | ♂ | erdélyi falu nevéből vált keresztnévvé | földdarab ; egy bizonyos nagyságú földterület | „néhány előfordulás” → „nagyon ritka”
Zajta | ♂ | Régi magyar Zah személynévből | | „néhány előfordulás” → „néhány előfordulás”
Zajzon | ♂ | erdélyi falu nevéből vált keresztnévvé | | „néhány előfordulás” → „néhány előfordulás”
Zakariás | ♂ | Héber eredetű Zecharja , Zekarja névből | Jahve ismét megemlékezett | „nagyon ritka” → „nagyon ritka”
